feature,coefficient,abs_coef
Satisfaction Score,-6.456654491648608,6.456654491648608
Number of Referrals,-1.6190735148470354,1.6190735148470354
Tenure in Months,-1.2419132038407612,1.2419132038407612
Contract_Two Year,-0.9298389451462827,0.9298389451462827
Married_Yes,0.7540171462813168,0.7540171462813168
Dependents_Yes,-0.6859080137980788,0.6859080137980788
Contract_One Year,-0.46813086498892137,0.46813086498892137
Total Charges,0.45362787950478084,0.45362787950478084
Internet Type_Fiber Optic,0.3406553144972191,0.3406553144972191
Senior Citizen_Yes,0.3347298810124963,0.3347298810124963
Monthly Charge,-0.2830444961011116,0.2830444961011116
Payment Method_Credit Card,-0.26531664860831544,0.26531664860831544
Paperless Billing_Yes,0.2628231609023364,0.2628231609023364
Internet Type_DSL,-0.11721140653890266,0.11721140653890266
Age,0.014292030896944747,0.014292030896944747
Payment Method_Mailed Check,0.013166970945994168,0.013166970945994168
