Customer ID,Gender,Age,Senior Citizen,Married,Dependents,City,State,Tenure in Months,Tenure Bucket,Contract,Internet Type,Payment Method,Monthly Charge,Total Charges,Total Revenue,Satisfaction Score,Churn Score,CLTV,Churned,Churn Label,Churn Category,Churn Reason,At Risk Flag
8779-QRDMV,Male,78,Yes,No,No,Los Angeles,California,1,0-12,Month-to-Month,DSL,Bank Withdrawal,39.65,39.65,59.65,3,91,5433,1,Yes,Competitor,Competitor offered more data,Normal
7495-OOKFY,Female,74,Yes,Yes,Yes,Los Angeles,California,8,0-12,Month-to-Month,Fiber Optic,Credit Card,80.65,633.3,1024.1,3,69,5302,1,Yes,Competitor,Competitor made better offer,Normal
1658-BYGOY,Male,71,Yes,No,Yes,Los Angeles,California,18,13-24,Month-to-Month,Fiber Optic,Bank Withdrawal,95.45,1752.55,1910.88,2,81,3179,1,Yes,Competitor,Competitor made better offer,Normal
4598-XLKNJ,Female,78,Yes,Yes,Yes,Inglewood,California,25,25-48,Month-to-Month,Fiber Optic,Bank Withdrawal,98.5,2514.5,2995.07,2,88,5337,1,Yes,Dissatisfaction,Limited range of services,Normal
4846-WHAFZ,Female,80,Yes,Yes,Yes,Whittier,California,37,25-48,Month-to-Month,Fiber Optic,Bank Withdrawal,76.5,2868.15,3102.36,2,67,2793,1,Yes,Price,Extra data charges,Normal
4412-YLTKF,Female,72,Yes,No,Yes,Pico Rivera,California,27,25-48,Month-to-Month,Fiber Optic,Bank Withdrawal,78.05,2135.5,2235.41,1,95,4638,1,Yes,Competitor,Competitor had better devices,Normal
0390-DCFDQ,Female,76,Yes,Yes,Yes,Los Alamitos,California,1,0-12,Month-to-Month,Fiber Optic,Mailed Check,70.45,70.45,85.73,2,76,3964,1,Yes,Other,Don't know,Normal
3445-HXXGF,Male,66,Yes,Yes,No,Sierra Madre,California,58,49-72,Month-to-Month,DSL,Bank Withdrawal,45.3,2651.2,2610.25,1,91,5444,1,Yes,Dissatisfaction,Service dissatisfaction,Normal
2656-FMOKZ,Female,70,Yes,No,Yes,Pasadena,California,15,13-24,Month-to-Month,Fiber Optic,Mailed Check,74.45,1145.7,1806.75,2,91,5717,1,Yes,Dissatisfaction,Limited range of services,Normal
2070-FNEXE,Female,77,Yes,No,Yes,Pasadena,California,7,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,76.45,503.6,681.2,2,81,4419,1,Yes,Price,Lack of affordable download/upload speed,Normal
0094-OIFMO,Female,78,Yes,No,Yes,North Hollywood,California,11,0-12,Month-to-Month,Fiber Optic,Bank Withdrawal,95.0,1120.3,1367.79,1,85,5980,1,Yes,Dissatisfaction,Product dissatisfaction,Normal
9947-OTFQU,Male,65,Yes,No,No,Covina,California,15,13-24,Month-to-Month,Fiber Optic,Bank Withdrawal,74.4,1074.3,1510.9499999999998,1,86,4616,1,Yes,Competitor,Competitor had better devices,Normal
9514-JDSKI,Male,77,Yes,Yes,No,El Monte,California,1,0-12,Month-to-Month,DSL,Bank Withdrawal,40.2,40.2,40.2,2,65,5828,1,Yes,Dissatisfaction,Limited range of services,Normal
7273-TEFQD,Male,67,Yes,No,No,La Puente,California,3,0-12,Month-to-Month,DSL,Bank Withdrawal,41.15,132.2,132.2,2,96,2314,1,Yes,Price,Long distance charges,Normal
3606-TWKGI,Male,68,Yes,No,No,Rowland Heights,California,13,13-24,Month-to-Month,Cable,Bank Withdrawal,106.9,1364.3,1799.14,1,84,2494,1,Yes,Competitor,Competitor had better devices,Normal
